book_id,genres
780917,fantasy
780917,paranormal
780917,fiction
780917,romance
780917,history
780917,historical fiction
780917,biography
780917,young-adult
1488663,fiction
1488663,fantasy
1488663,paranormal
1488663,children
1488663,non-fiction
89588,fiction
89588,fantasy
89588,paranormal
89588,mystery
89588,thriller
89588,crime
89583,fiction
89583,fantasy
89583,paranormal
2741850,fantasy
2741850,paranormal
2741850,romance
2741850,fiction
2741850,mystery
2741850,thriller
2741850,crime
10806008,fantasy
10806008,paranormal
10806008,fiction
10806008,children
10806008,young-adult
10806008,mystery
10806008,thriller
10806008,crime
12458829,fantasy
12458829,paranormal
12458829,young-adult
12458829,romance
12458829,fiction
27693272,fantasy
27693272,paranormal
27693272,fiction
27693272,mystery
27693272,thriller
27693272,crime
27693272,history
27693272,historical fiction
27693272,biography
30971685,fantasy
30971685,paranormal
30971685,young-adult
30971685,mystery
30971685,thriller
30971685,crime
30971685,fiction
30971685,history
30971685,historical fiction
30971685,biography
30971685,romance
30010194,fantasy
30010194,paranormal
30010194,fiction
30010194,young-adult
30010194,mystery
30010194,thriller
30010194,crime
30010194,romance
4507203,fantasy
4507203,paranormal
4507203,romance
4507203,fiction
4507203,young-adult
4507203,mystery
4507203,thriller
4507203,crime
22889758,comics
22889758,graphic
22889758,fantasy
22889758,paranormal
22889758,fiction
22889758,mystery
22889758,thriller
22889758,crime
22889758,non-fiction
38568,fantasy
38568,paranormal
38568,romance
38568,fiction
38562,fantasy
38562,paranormal
38562,romance
38562,fiction
38562,mystery
38562,thriller
38562,crime
38564,young-adult
38564,fantasy
38564,paranormal
38564,fiction
38564,romance
175248,fiction
175248,fantasy
175248,paranormal
175248,mystery
175248,thriller
175248,crime
175248,young-adult
13579397,fantasy
13579397,paranormal
13579397,fiction
13579397,history
13579397,historical fiction
13579397,biography
16132671,fantasy
16132671,paranormal
16132671,young-adult
16132671,children
16132671,fiction
16132671,mystery
16132671,thriller
16132671,crime
39307,fantasy
39307,paranormal
39307,romance
39307,fiction
16107050,young-adult
16107050,fantasy
16107050,paranormal
16107050,romance
16107050,fiction
12814582,fantasy
12814582,paranormal
12814582,children
12814582,fiction
12814582,young-adult
12814582,mystery
12814582,thriller
12814582,crime
12814582,history
12814582,historical fiction
12814582,biography
3475268,fantasy
3475268,paranormal
3475268,fiction
3475268,romance
3475268,mystery
3475268,thriller
3475268,crime
3475268,history
3475268,historical fiction
3475268,biography
16217442,fantasy
16217442,paranormal
16217442,young-adult
16217442,fiction
16217442,history
16217442,historical fiction
16217442,biography
16217442,romance
29093476,fantasy
29093476,paranormal
29093476,young-adult
29093476,children
29093476,fiction
17322045,fiction
17322045,fantasy
17322045,paranormal
17322045,young-adult
17322045,history
17322045,historical fiction
17322045,biography
6620466,young-adult
6620466,fantasy
6620466,paranormal
6620466,romance
6620466,fiction
6620466,mystery
6620466,thriller
6620466,crime
1113545,fantasy
1113545,paranormal
1113545,young-adult
1113545,fiction
1113545,children
1113545,mystery
1113545,thriller
1113545,crime
25135715,fantasy
25135715,paranormal
25135715,romance
25135715,mystery
25135715,thriller
25135715,crime
25135715,fiction
941226,fantasy
941226,paranormal
941226,fiction
941226,history
941226,historical fiction
941226,biography
873920,fiction
873920,fantasy
873920,paranormal
873920,history
873920,historical fiction
873920,biography
873920,romance
33024398,fantasy
33024398,paranormal
33024398,mystery
33024398,thriller
33024398,crime
33024398,fiction
33024398,romance
2439888,fantasy
2439888,paranormal
2439888,fiction
2439888,romance
738754,fantasy
738754,paranormal
738754,young-adult
738754,fiction
738754,children
738754,mystery
738754,thriller
738754,crime
1390326,fantasy
1390326,paranormal
1390326,fiction
1390326,romance
15670,fantasy
15670,paranormal
15670,fiction
15670,history
15670,historical fiction
15670,biography
15670,romance
15670,mystery
15670,thriller
15670,crime
11309018,young-adult
11309018,fantasy
11309018,paranormal
11309018,fiction
11309018,history
11309018,historical fiction
11309018,biography
11309018,children
11309018,romance
4241738,fantasy
4241738,paranormal
4241738,mystery
4241738,thriller
4241738,crime
4241738,children
4241738,young-adult
4241738,fiction
8369680,young-adult
8369680,fantasy
8369680,paranormal
8369680,romance
8369680,fiction
22694784,fantasy
22694784,paranormal
22694784,romance
22694784,fiction
18601927,fantasy
18601927,paranormal
18601927,fiction
18601927,mystery
18601927,thriller
18601927,crime
7114042,fantasy
7114042,paranormal
7114042,romance
7114042,fiction
7114042,young-adult
906901,fiction
906901,mystery
906901,thriller
906901,crime
906901,fantasy
906901,paranormal
906901,romance
14069,fantasy
14069,paranormal
14069,fiction
14069,history
14069,historical fiction
14069,biography
14069,young-adult
219110,fiction
219110,fantasy
219110,paranormal
219110,young-adult
219110,children
219110,romance
219110,mystery
219110,thriller
219110,crime
3249541,fantasy
3249541,paranormal
3249541,young-adult
3249541,fiction
3249541,children
3249541,mystery
3249541,thriller
3249541,crime
1157539,fantasy
1157539,paranormal
1157539,children
1157539,fiction
1157539,young-adult
1157539,romance
108064,fiction
108064,fantasy
108064,paranormal
108064,mystery
108064,thriller
108064,crime
186074,fantasy
186074,paranormal
186074,fiction
186074,young-adult
186074,romance
194738,mystery
194738,thriller
194738,crime
194738,fantasy
194738,paranormal
194738,fiction
194739,fiction
194739,fantasy
194739,paranormal
194739,history
194739,historical fiction
194739,biography
10650803,fantasy
10650803,paranormal
10650803,romance
10650803,fiction
6556422,fantasy
6556422,paranormal
6556422,fiction
6556422,children
6556422,young-adult
6945369,fantasy
6945369,paranormal
6945369,fiction
6945369,mystery
6945369,thriller
6945369,crime
6945369,history
6945369,historical fiction
6945369,biography
14976,fantasy
14976,paranormal
14976,comics
14976,graphic
14976,young-adult
14976,fiction
14976,mystery
14976,thriller
14976,crime
14976,romance
6537058,fantasy
6537058,paranormal
6537058,romance
6537058,fiction
19288530,fantasy
19288530,paranormal
19288530,fiction
477338,young-adult
477338,fantasy
477338,paranormal
477338,mystery
477338,thriller
477338,crime
477338,fiction
477338,romance
17393102,fantasy
17393102,paranormal
17393102,fiction
17393102,romance
17393102,young-adult
6928840,fantasy
6928840,paranormal
6928840,young-adult
6928840,fiction
6928840,history
6928840,historical fiction
6928840,biography
15847757,fantasy
15847757,paranormal
15847757,young-adult
15847757,romance
15847757,fiction
13234487,fantasy
13234487,paranormal
13234487,romance
13234487,fiction
12792988,young-adult
12792988,romance
12792988,fantasy
12792988,paranormal
12792988,fiction
12792988,mystery
12792988,thriller
12792988,crime
9585036,mystery
9585036,thriller
9585036,crime
9585036,romance
9585036,fantasy
9585036,paranormal
9585036,fiction
29738154,fantasy
29738154,paranormal
29738154,romance
29738154,young-adult
29738154,history
29738154,historical fiction
29738154,biography
185117,fiction
185117,fantasy
185117,paranormal
10063343,fantasy
10063343,paranormal
10063343,romance
10063343,fiction
22749511,young-adult
22749511,fantasy
22749511,paranormal
22749511,fiction
22749511,mystery
22749511,thriller
22749511,crime
5338,fantasy
5338,paranormal
5338,poetry
5338,fiction
5338,children
5338,romance
5338,young-adult
13449677,young-adult
13449677,fantasy
13449677,paranormal
13449677,romance
13449677,fiction
15015624,young-adult
15015624,fantasy
15015624,paranormal
15015624,fiction
15015624,children
5099602,fantasy
5099602,paranormal
5099602,young-adult
5099602,romance
5099602,fiction
5099602,mystery
5099602,thriller
5099602,crime
27206431,fiction
27206431,fantasy
27206431,paranormal
27206431,history
27206431,historical fiction
27206431,biography
27206431,mystery
27206431,thriller
27206431,crime
27385330,fantasy
27385330,paranormal
27385330,romance
27385330,mystery
27385330,thriller
27385330,crime
27385330,young-adult
676924,romance
676924,fiction
676924,young-adult
676924,fantasy
676924,paranormal
23561467,fantasy
23561467,paranormal
23561467,young-adult
23561467,romance
23561467,fiction
23561467,mystery
23561467,thriller
23561467,crime
147844,fantasy
147844,paranormal
147844,fiction
147844,young-adult
147844,romance
147844,history
147844,historical fiction
147844,biography
147844,mystery
147844,thriller
147844,crime
147842,fantasy
147842,paranormal
147842,fiction
147842,young-adult
147842,romance
147843,fantasy
147843,paranormal
147843,young-adult
147843,fiction
147843,romance
147843,history
147843,historical fiction
147843,biography
691582,fiction
691582,fantasy
691582,paranormal
25659433,fantasy
25659433,paranormal
25659433,fiction
25659433,history
25659433,historical fiction
25659433,biography
25659433,romance
25659436,young-adult
25659436,fantasy
25659436,paranormal
25659436,romance
25659436,fiction
25659436,mystery
25659436,thriller
25659436,crime
8585377,mystery
8585377,thriller
8585377,crime
8585377,fantasy
8585377,paranormal
8585377,romance
8585377,fiction
17998,fantasy
17998,paranormal
17998,young-adult
17998,fiction
17998,children
17998,mystery
17998,thriller
17998,crime
1375896,fantasy
1375896,paranormal
1375896,young-adult
1375896,fiction
1375896,children
1375896,mystery
1375896,thriller
1375896,crime
18176532,fantasy
18176532,paranormal
18176532,romance
18176532,fiction
18176532,mystery
18176532,thriller
18176532,crime
1122023,fiction
1122023,fantasy
1122023,paranormal
1122023,mystery
1122023,thriller
1122023,crime
1122023,young-adult
1122026,fiction
1122026,fantasy
1122026,paranormal
1122026,mystery
1122026,thriller
1122026,crime
28660,fantasy
28660,paranormal
28660,fiction
13507921,young-adult
13507921,fantasy
13507921,paranormal
13507921,romance
13507921,mystery
13507921,thriller
13507921,crime
6775624,romance
6775624,fantasy
6775624,paranormal
6775624,comics
6775624,graphic
6775624,young-adult
6775624,fiction
6775624,mystery
6775624,thriller
6775624,crime
6775623,romance
6775623,fantasy
6775623,paranormal
6775623,comics
6775623,graphic
6775623,young-adult
6775623,fiction
6775623,mystery
6775623,thriller
6775623,crime
13878,fantasy
13878,paranormal
13878,fiction
1459209,fantasy
1459209,paranormal
1459209,fiction
1459209,young-adult
1459209,history
1459209,historical fiction
1459209,biography
31429077,fantasy
31429077,paranormal
31429077,young-adult
31429077,fiction
31429077,history
31429077,historical fiction
31429077,biography
31429077,children
1004234,fiction
1004234,fantasy
1004234,paranormal
1004234,young-adult
833332,fantasy
833332,paranormal
833332,young-adult
833332,fiction
833332,history
833332,historical fiction
833332,biography
833332,children
833332,mystery
833332,thriller
833332,crime
6474771,fantasy
6474771,paranormal
6474771,young-adult
6474771,romance
6474771,fiction
9466032,fantasy
9466032,paranormal
9466032,young-adult
9466032,mystery
9466032,thriller
9466032,crime
9466032,children
9466032,fiction
9466032,history
9466032,historical fiction
9466032,biography
9466032,romance
409796,fantasy
409796,paranormal
409796,fiction
409796,romance
409796,history
409796,historical fiction
409796,biography
395953,fiction
395953,fantasy
395953,paranormal
395953,romance
11365223,fantasy
11365223,paranormal
11365223,comics
11365223,graphic
11365223,young-adult
11365223,fiction
11365223,children
11365223,mystery
11365223,thriller
11365223,crime
7980210,fiction
7980210,fantasy
7980210,paranormal
7980210,mystery
7980210,thriller
7980210,crime
11795449,fantasy
11795449,paranormal
11795449,young-adult
11795449,fiction
11795449,mystery
11795449,thriller
11795449,crime
11795449,children
11795449,romance
1599297,fantasy
1599297,paranormal
1599297,romance
1599297,fiction
1599297,mystery
1599297,thriller
1599297,crime
12063158,fantasy
12063158,paranormal
12063158,young-adult
12063158,fiction
12063158,mystery
12063158,thriller
12063158,crime
12063158,children
12063158,romance
23005844,fantasy
23005844,paranormal
23005844,romance
18271251,fantasy
18271251,paranormal
18271251,young-adult
18271251,romance
18271251,fiction
18271251,mystery
18271251,thriller
18271251,crime
7642463,fantasy
7642463,paranormal
7642463,fiction
7642463,young-adult
7642463,romance
6383800,fantasy
6383800,paranormal
6383800,romance
6383800,young-adult
6383800,children
6383800,fiction
17218790,fiction
17218790,fantasy
17218790,paranormal
17218790,young-adult
17218790,children
13423867,fantasy
13423867,paranormal
13423867,romance
13423867,young-adult
13423867,history
13423867,historical fiction
13423867,biography
13423867,fiction
7068147,young-adult
7068147,fantasy
7068147,paranormal
7068147,romance
7068147,fiction
7068147,mystery
7068147,thriller
7068147,crime
22489597,young-adult
22489597,fantasy
22489597,paranormal
22489597,fiction
22489597,romance
6376816,fantasy
6376816,paranormal
6376816,romance
6376816,fiction
6376816,history
6376816,historical fiction
6376816,biography
25302294,fantasy
25302294,paranormal
25302294,romance
25302294,mystery
25302294,thriller
25302294,crime
25302294,fiction
